Food counter 	Food type	Sub-category	Region	Year of study	Report type	"kg CO2-eq/kg produce, BFM or L after conversion"	Notes (conventional farming assumed unless stated)	Reference	reference number
Fruit and Vegetable Counter	Ginger 	Stem	imported	2009	Report	0.88		"Audsley, E., M. Brander, J. Chatterton, D. Murphy-Bokern, C. Webster and A. Williams (2009). How low can we go? An assessment of greenhouse gas emissions from the UK food system and the scope to reduce them by 2050. London, FCRN-WWF. Accessed: 17/02/2015 from: An assessment of greenhouse gas emissions from the UK food system end and the scope to reduce them by 2050 wwf.org.uk/downloads/how_low_report_1.pdf"	0523
Fruit and Vegetable Counter	Grapefruit and Pomelo 	Hesperidium	United Kingdom	2009	Report	0.51		"Audsley, E., M. Brander, J. Chatterton, D. Murphy-Bokern, C. Webster and A. Williams (2009). How low can we go? An assessment of greenhouse gas emissions from the UK food system and the scope to reduce them by 2050. London, FCRN-WWF. Accessed: 17/02/2015 from: An assessment of greenhouse gas emissions from the UK food system end and the scope to reduce them by 2050 wwf.org.uk/downloads/how_low_report_1.pdf"	0524
Fruit and Vegetable Counter	Grapes	True Berry	Spain	2014	Conference	0.15		"Torres, C. M., A. Anto_n and F. Castells (2014). Moving toward scientific LCA for farmers. Proceedings of the 9th International Conference on Life Cycle Assessment in the Agri-Food Sector. San Francisco: 1336-1433."	0525
Fruit and Vegetable Counter	Grapes	True Berry	Switzerland	2012	Journal	0.30		"Stoessel, F., R. Juraske, S. Pfister and S. Hellweg (2012). ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer."" Environmental Science & Technology 46(6): 3253-3262."	0526
Fruit and Vegetable Counter	Grapes	True Berry	Japan	2008	Conference	0.88		"Yoshikawa, N., K. Amano and K. Shimada (2008). Evaluation of Environmental Loads Related to Fruit and Vegetable Consumption Using the Hybrid LCA Method: Japanese Case Study. Life Cycle Assessment VIII September 30-October 2, . Seattle, Washington."	0527
Fruit and Vegetable Counter	Grapes	True Berry	USA	2012	Journal	0.35		"Venkat, K. (2012). ""Comparison of Twelve Organic and Conventional Farming Systems: A Life Cycle Greenhouse Gas Emissions Perspective."" Journal of Sustainable Agriculture 36(6): 620-649."	0528
Fruit and Vegetable Counter	Grapes	True Berry	USA	2012	Journal	0.38		"Venkat, K. (2012). ""Comparison of Twelve Organic and Conventional Farming Systems: A Life Cycle Greenhouse Gas Emissions Perspective."" Journal of Sustainable Agriculture 36(6): 620-649."	0529
Fruit and Vegetable Counter	Grapes	True Berry	Eurpoe	2009	Report	0.42		"Audsley, E., M. Brander, J. Chatterton, D. Murphy-Bokern, C. Webster and A. Williams (2009). How low can we go? An assessment of greenhouse gas emissions from the UK food system and the scope to reduce them by 2050. London, FCRN-WWF. Accessed: 17/02/2015 from: An assessment of greenhouse gas emissions from the UK food system end and the scope to reduce them by 2050 wwf.org.uk/downloads/how_low_report_1.pdf"	0530
Fruit and Vegetable Counter	Grapes	True Berry	imported	2009	Report		excluded no country of origin	"Audsley, E., M. Brander, J. Chatterton, D. Murphy-Bokern, C. Webster and A. Williams (2009). How low can we go? An assessment of greenhouse gas emissions from the UK food system and the scope to reduce them by 2050. London, FCRN-WWF. Accessed: 17/02/2015 from: An assessment of greenhouse gas emissions from the UK food system end and the scope to reduce them by 2050 wwf.org.uk/downloads/how_low_report_1.pdf"	0531
Fruit and Vegetable Counter	Guavas	True Berry	France	2014	Journal	0.28		"Ziegler, F., P. Nilsson, B. Mattsson and Y. Walther (2003). ""Life Cycle assessment of frozen cod fillets including fishery-specific environmental impacts."" The International Journal of Life Cycle Assessment 8(1): 39-47."	0532
Fruit and Vegetable Counter	"Guavas, Mangoes Etc. "	True Berry	imported	2009	Report		excluded no country of origin	"Audsley, E., M. Brander, J. Chatterton, D. Murphy-Bokern, C. Webster and A. Williams (2009). How low can we go? An assessment of greenhouse gas emissions from the UK food system and the scope to reduce them by 2050. London, FCRN-WWF. Accessed: 17/02/2015 from: An assessment of greenhouse gas emissions from the UK food system end and the scope to reduce them by 2050 wwf.org.uk/downloads/how_low_report_1.pdf"	0533
Fruit and Vegetable Counter	Kiwi Fruit 	True Berry	New Zealand	2014	Journal	0.28	integrated production	"Müller, K., A. Holmes, M. Deurer and B. E. Clothier (2014). ""Eco-efficiency as a sustainability measure for kiwifruit production in New Zealand."" Journal of Cleaner Production (in press)(0)."	0534
Fruit and Vegetable Counter	Kiwi Fruit 	True Berry	New Zealand	2014	Journal	0.29	integrated production	"Müller, K., A. Holmes, M. Deurer and B. E. Clothier (2014). ""Eco-efficiency as a sustainability measure for kiwifruit production in New Zealand."" Journal of Cleaner Production (in press)(0)."	0535
Fruit and Vegetable Counter	Kiwi Fruit 	True Berry	New Zealand	2014	Journal	0.34	organic	"Müller, K., A. Holmes, M. Deurer and B. E. Clothier (2014). ""Eco-efficiency as a sustainability measure for kiwifruit production in New Zealand."" Journal of Cleaner Production (in press)(0)."	0536
Fruit and Vegetable Counter	Kiwi Fruit 	True Berry	New Zealand	2014	Journal	0.36	green	"Müller, K., A. Holmes, M. Deurer and B. E. Clothier (2014). ""Eco-efficiency as a sustainability measure for kiwifruit production in New Zealand."" Journal of Cleaner Production (in press)(0)."	0537
Fruit and Vegetable Counter	Kiwi Fruit 	True Berry	Eurpoe	2009	Report	0.43		"Audsley, E., M. Brander, J. Chatterton, D. Murphy-Bokern, C. Webster and A. Williams (2009). How low can we go? An assessment of greenhouse gas emissions from the UK food system and the scope to reduce them by 2050. London, FCRN-WWF. Accessed: 17/02/2015 from: An assessment of greenhouse gas emissions from the UK food system end and the scope to reduce them by 2050 wwf.org.uk/downloads/how_low_report_1.pdf"	0538
Fruit and Vegetable Counter	Kiwi Fruit 	True Berry	New Zealand	2010	Conference	0.56	integrated production	"McLaren, S. J., A. Hume and N. Mithraratne (2010). Carbon Management for the Primary Agricultural Sector In New Zealand. Proceedings of the VII International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2010). Bari, Italy."	0539
Fruit and Vegetable Counter	Kiwi Fruit 	True Berry	Switzerland	2012	Journal	0.68		"Stoessel, F., R. Juraske, S. Pfister and S. Hellweg (2012). ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer."" Environmental Science & Technology 46(6): 3253-3262."	0540
Fruit and Vegetable Counter	Kiwi Fruit 	True Berry	Greece	2011	EPD	0.83		"ZEUS (2011). ""Environmental Product Declaration for 1 kg of kiwifruit (inclusive of peel) eaten by the consumers,Registration Number UN CPC 01342, Rev. 1, Approval date 2012.01.03, valid 3 years."". Retrieved 03/05/2015, from http://gryphon.environdec.com/data/files/6/8398/epd310_v1.pdf."	0541
Fruit and Vegetable Counter	Kiwi Fruit 	True Berry	imported	2009	Report	0.88		"Audsley, E., M. Brander, J. Chatterton, D. Murphy-Bokern, C. Webster and A. Williams (2009). How low can we go? An assessment of greenhouse gas emissions from the UK food system and the scope to reduce them by 2050. London, FCRN-WWF. Accessed: 17/02/2015 from: An assessment of greenhouse gas emissions from the UK food system end and the scope to reduce them by 2050 wwf.org.uk/downloads/how_low_report_1.pdf"	0542
Fruit and Vegetable Counter	Lemons and Limes 	Hesperidium	Sicily	2013	Journal	0.18		"Pergola, M., M. D'Amico, G. Celano, A. M. Palese, A. Scuderi, G. Di Vita, G. Pappalardo and P. Inglese (2013). ""Sustainability evaluation of Sicily's lemon and orange production: An energy, economic and environmental analysis."" Journal of Environmental Management 128(0): 674-682."	0543
Fruit and Vegetable Counter	Lemons and Limes 	Hesperidium	Sicily	2013	Journal	0.26		"Pergola, M., M. D'Amico, G. Celano, A. M. Palese, A. Scuderi, G. Di Vita, G. Pappalardo and P. Inglese (2013). ""Sustainability evaluation of Sicily's lemon and orange production: An energy, economic and environmental analysis."" Journal of Environmental Management 128(0): 674-682."	0544
Fruit and Vegetable Counter	Lemons and Limes 	Hesperidium	Eurpoe	2009	Report		excluded no country of origin	"Audsley, E., M. Brander, J. Chatterton, D. Murphy-Bokern, C. Webster and A. Williams (2009). How low can we go? An assessment of greenhouse gas emissions from the UK food system and the scope to reduce them by 2050. London, FCRN-WWF. Accessed: 17/02/2015 from: An assessment of greenhouse gas emissions from the UK food system end and the scope to reduce them by 2050 wwf.org.uk/downloads/how_low_report_1.pdf"	0545
Fruit and Vegetable Counter	Lettuce	Leaves	Sweden	2011	Journal	0.13		"González, A. D., B. Frostell and A. Carlsson-Kanyama (2011). ""Protein efficiency per unit energy and per unit greenhouse gas emissions: Potential contribution of diet choices to climate change mitigation."" Food Policy 36(5): 562-570."	0546
Fruit and Vegetable Counter	Lettuce	Leaves	Holland	2011	Journal	0.14		"González, A. D., B. Frostell and A. Carlsson-Kanyama (2011). ""Protein efficiency per unit energy and per unit greenhouse gas emissions: Potential contribution of diet choices to climate change mitigation."" Food Policy 36(5): 562-570."	0547
Fruit and Vegetable Counter	Lettuce	Leaves	United Kingdom	2008	Report	0.19		"Milà i Canalsa, l., I. Muñoz, A. Hospido, K. Plassmann and S. McLaren (2008). Life cycle assessment (lca) of domestic vs. Imported vegetables. Case studies on broccoli, salad crops and green beans. CES Working Paper 01/08. Guildford Centre for Environmental Strategy, University of Surrey,."	0548
Fruit and Vegetable Counter	Lettuce	Leaves	United Kingdom	2008	Report	0.19		"Milà i Canalsa, l., I. Muñoz, A. Hospido, K. Plassmann and S. McLaren (2008). Life cycle assessment (lca) of domestic vs. Imported vegetables. Case studies on broccoli, salad crops and green beans. CES Working Paper 01/08. Guildford Centre for Environmental Strategy, University of Surrey,."	0549
Fruit and Vegetable Counter	Lettuce	Leaves	Australia	2012	Journal	0.22	-	"Gunady, M. G. A., W. Biswas, V. A. Solah and A. P. James (2012). ""Evaluating the global warming potential of the fresh produce supply chain for strawberries, romaine/cos lettuces (Lactuca sativa), and button mushrooms (Agaricus bisporus) in Western Australia using life cycle assessment (LCA)."" Journal of Cleaner Production 28(0): 81-87."	0550
Fruit and Vegetable Counter	Lettuce	Leaves	United Kingdom	2008	Report	0.25		"Milà i Canalsa, l., I. Muñoz, A. Hospido, K. Plassmann and S. McLaren (2008). Life cycle assessment (lca) of domestic vs. Imported vegetables. Case studies on broccoli, salad crops and green beans. CES Working Paper 01/08. Guildford Centre for Environmental Strategy, University of Surrey,."	0551
Fruit and Vegetable Counter	Lettuce	Leaves	United Kingdom	2008	Report	0.25		"Milà i Canalsa, l., I. Muñoz, A. Hospido, K. Plassmann and S. McLaren (2008). Life cycle assessment (lca) of domestic vs. Imported vegetables. Case studies on broccoli, salad crops and green beans. CES Working Paper 01/08. Guildford Centre for Environmental Strategy, University of Surrey,."	0552
Fruit and Vegetable Counter	Lettuce	Leaves	United Kingdom	2006	Report	0.32	farm a late harvest	"Milà i Canalsa, l., S. J. Cowell, A. Hospido, D. Jones, G. Koerber, P. Cross, B. Hounsome and G. Edwards-Jones (2006). ""LCA of horticultural crops including indicator of pesticide rating, from the Project."" Comparative Assessment of Environmental, Community and Nutritional Impacts of Consuming Fruit and Vegetables Produced Locally and Overseas. Retrieved 02/02/2015, 2015, from http://relu.bangor.ac.uk/documents/MO3Y2P01PosterRELUTheHague.pdf."	0553
Fruit and Vegetable Counter	Lettuce	Leaves	USA	2011	Journal	0.32		"González, A. D., B. Frostell and A. Carlsson-Kanyama (2011). ""Protein efficiency per unit energy and per unit greenhouse gas emissions: Potential contribution of diet choices to climate change mitigation."" Food Policy 36(5): 562-570."	0554
Fruit and Vegetable Counter	Lettuce 	Leaves	Australia	2010	Report	0.32		"Maraseni, T. N., G. Cockfield, J. Maroulis and G. Chen (2010). ""An assessment of greenhouse gas emissions from the Australian vegetables industry."" Journal of Environmental Science and Health, Part B 45(6): 578-588."	0555
Fruit and Vegetable Counter	Lettuce	Leaves	United Kingdom	2009	Journal	0.33	open field	"Hospido, A., L. Milà i Canals, S. McLaren, M. Truninger, G. Edwards-Jones and R. Clift (2009). ""The role of seasonality in lettuce consumption: a case study of environmental and social aspects."" The International Journal of Life Cycle Assessment 14(5): 381-391."	0556
Fruit and Vegetable Counter	Lettuce	Leaves	USA	2012	Journal	0.33		"Venkat, K. (2012). ""Comparison of Twelve Organic and Conventional Farming Systems: A Life Cycle Greenhouse Gas Emissions Perspective."" Journal of Sustainable Agriculture 36(6): 620-649."	0557
Fruit and Vegetable Counter	Lettuce	Leaves	Sweden	2014	Conference	0.35		"Strid, I. and M. Eriksson (2014). Losses in the supply chain of Swedish lettuce – wasted amounts and their carbon footprint at primary production, whole sale and retail. Proceedings of the 9th International Conference on Life Cycle Assessment in the Agri-Food Sector. San Francisco: 1274-1279."	0558
Fruit and Vegetable Counter	Lettuce	Leaves	Spain	2008	Report	0.39		"Milà i Canalsa, l., I. Muñoz, A. Hospido, K. Plassmann and S. McLaren (2008). Life cycle assessment (lca) of domestic vs. Imported vegetables. Case studies on broccoli, salad crops and green beans. CES Working Paper 01/08. Guildford Centre for Environmental Strategy, University of Surrey,."	0559
Fruit and Vegetable Counter	Lettuce	Leaves	USA	2012	Journal	0.41	organic	"Venkat, K. (2012). ""Comparison of Twelve Organic and Conventional Farming Systems: A Life Cycle Greenhouse Gas Emissions Perspective."" Journal of Sustainable Agriculture 36(6): 620-649."	0560
Fruit and Vegetable Counter	Lettuce	Leaves	Sweden	2014	Conference	0.43	includes wasted crop	"Strid, I. and M. Eriksson (2014). Losses in the supply chain of Swedish lettuce – wasted amounts and their carbon footprint at primary production, whole sale and retail. Proceedings of the 9th International Conference on Life Cycle Assessment in the Agri-Food Sector. San Francisco: 1274-1279."	0561
Fruit and Vegetable Counter	Lettuce	Leaves	Spain	2008	Report	0.44		"Milà i Canalsa, l., I. Muñoz, A. Hospido, K. Plassmann and S. McLaren (2008). Life cycle assessment (lca) of domestic vs. Imported vegetables. Case studies on broccoli, salad crops and green beans. CES Working Paper 01/08. Guildford Centre for Environmental Strategy, University of Surrey,."	0562
Fruit and Vegetable Counter	Lettuce	Leaves	Spain	2009	Journal	0.45	open field	"Hospido, A., L. Milà i Canals, S. McLaren, M. Truninger, G. Edwards-Jones and R. Clift (2009). ""The role of seasonality in lettuce consumption: a case study of environmental and social aspects."" The International Journal of Life Cycle Assessment 14(5): 381-391."	0563
Fruit and Vegetable Counter	Lettuce	Leaves	 Switzerland 	2010	Conference	0.45	greenhouse from waste heat	"Marton, S., T. Kägi and D. Wettstein (2010). Lower global warming potential of cucumbers and lettuce from a greenhouse heated by waste heat Proceedings of the VII International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2010). Bari, Italy."	0564
Fruit and Vegetable Counter	Lettuce	Leaves	United Kingdom	2006	Report	0.46	farm b late	"Milà i Canalsa, l., S. J. Cowell, A. Hospido, D. Jones, G. Koerber, P. Cross, B. Hounsome and G. Edwards-Jones (2006). ""LCA of horticultural crops including indicator of pesticide rating, from the Project."" Comparative Assessment of Environmental, Community and Nutritional Impacts of Consuming Fruit and Vegetables Produced Locally and Overseas. Retrieved 02/02/2015, 2015, from http://relu.bangor.ac.uk/documents/MO3Y2P01PosterRELUTheHague.pdf."	0565
Fruit and Vegetable Counter	Lettuce	Leaves	United Kingdom	2006	Report	0.47	farm b early harves	"Milà i Canalsa, l., S. J. Cowell, A. Hospido, D. Jones, G. Koerber, P. Cross, B. Hounsome and G. Edwards-Jones (2006). ""LCA of horticultural crops including indicator of pesticide rating, from the Project."" Comparative Assessment of Environmental, Community and Nutritional Impacts of Consuming Fruit and Vegetables Produced Locally and Overseas. Retrieved 02/02/2015, 2015, from http://relu.bangor.ac.uk/documents/MO3Y2P01PosterRELUTheHague.pdf."	0566
Fruit and Vegetable Counter	Lettuce	Leaves	United Kingdom	2008	Report	0.50		"Milà i Canalsa, l., I. Muñoz, A. Hospido, K. Plassmann and S. McLaren (2008). Life cycle assessment (lca) of domestic vs. Imported vegetables. Case studies on broccoli, salad crops and green beans. CES Working Paper 01/08. Guildford Centre for Environmental Strategy, University of Surrey,."	0567
Fruit and Vegetable Counter	Lettuce	Leaves	Switzerland	2008	Conference	0.55	little gem	"Svanes, E. (2008). Practical application of results from LCA of root and leaf vegetable. 6th International Conference on LCA in the Agri-Food Sector. Zurich, Ostfold Research."	0568
Fruit and Vegetable Counter	Lettuce	Leaves	United Kingdom	2006	Report	0.59	farm a early	"Milà i Canalsa, l., S. J. Cowell, A. Hospido, D. Jones, G. Koerber, P. Cross, B. Hounsome and G. Edwards-Jones (2006). ""LCA of horticultural crops including indicator of pesticide rating, from the Project."" Comparative Assessment of Environmental, Community and Nutritional Impacts of Consuming Fruit and Vegetables Produced Locally and Overseas. Retrieved 02/02/2015, 2015, from http://relu.bangor.ac.uk/documents/MO3Y2P01PosterRELUTheHague.pdf."	0569
Fruit and Vegetable Counter	Lettuce	Leaves	Japan	2009	Conference	0.60		"Yoshikawa, N., K. Amano and K. Shimada (2008). Evaluation of Environmental Loads Related to Fruit and Vegetable Consumption Using the Hybrid LCA Method: Japanese Case Study. Life Cycle Assessment VIII September 30-October 2, . Seattle, Washington."	0570
Fruit and Vegetable Counter	Lettuce	Leaves	Spain	2008	Report	0.61		"Milà i Canalsa, l., I. Muñoz, A. Hospido, K. Plassmann and S. McLaren (2008). Life cycle assessment (lca) of domestic vs. Imported vegetables. Case studies on broccoli, salad crops and green beans. CES Working Paper 01/08. Guildford Centre for Environmental Strategy, University of Surrey,."	0571
Fruit and Vegetable Counter	Lettuce	Leaves	Spain	2008	Report	0.62		"Milà i Canalsa, l., I. Muñoz, A. Hospido, K. Plassmann and S. McLaren (2008). Life cycle assessment (lca) of domestic vs. Imported vegetables. Case studies on broccoli, salad crops and green beans. CES Working Paper 01/08. Guildford Centre for Environmental Strategy, University of Surrey,."	0572
Fruit and Vegetable Counter	Lettuce (G)	Leaves	United Kingdom	2008	Report	1.30	"greenhouse and outdoors, under glass, natural gas heating"	"Milà i Canalsa, l., Muñoz, I., Hospido, A., Plassmann, K., McLaren, S., (2008). Life cycle assessment (lca) of domestic vs. Imported vegetables. Case studies on broccoli, salad crops and green beans, CES Working Paper 01/08. Centre for Environmental Strategy, University of Surrey,, Guildford "	0573
Fruit and Vegetable Counter	Lettuce (G)	Leaves	United Kingdom	2009	Journal	1.50	"greenhouse, UK farm d glasshouse, natural gas heated"	"Hospido, A., L. Milà i Canals, S. McLaren, M. Truninger, G. Edwards-Jones and R. Clift (2009). ""The role of seasonality in lettuce consumption: a case study of environmental and social aspects."" The International Journal of Life Cycle Assessment 14(5): 381-391."	0574
Fruit and Vegetable Counter	Lettuce (G)	Leaves	United Kingdom	2009	Journal	3.70	"greenhouse, UK farm c glasshouse, natural gas heated"	"Hospido, A., L. Milà i Canals, S. McLaren, M. Truninger, G. Edwards-Jones and R. Clift (2009). ""The role of seasonality in lettuce consumption: a case study of environmental and social aspects."" The International Journal of Life Cycle Assessment 14(5): 381-391."	0575
Fruit and Vegetable Counter	Lettuce (G)	Leaves	 Switzerland 	2010	Conference	4.51	"greenhouse, plastic greenhouse, fuel heating oil"	"Marton, S., T. Kägi and D. Wettstein (2010). Lower global warming potential of cucumbers and lettuce from a greenhouse heated by waste heat Proceedings of the VII International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2010). Bari, Italy."	0576
Fruit and Vegetable Counter	Lettuce (G)	Leaves	United Kingdom	2008	Report	4.73	"greenhouse year round under glass, natural gas heating"	"Milà i Canalsa, l., Muñoz, I., Hospido, A., Plassmann, K., McLaren, S., (2008). Life cycle assessment (lca) of domestic vs. Imported vegetables. Case studies on broccoli, salad crops and green beans, CES Working Paper 01/08. Centre for Environmental Strategy, University of Surrey,, Guildford "	0577
Fruit and Vegetable Counter	Lettuce and chicory	Leaves	United Kingdom	2009	Report		assume greenhouse	"Audsley, E., M. Brander, J. Chatterton, D. Murphy-Bokern, C. Webster and A. Williams (2009). How low can we go? An assessment of greenhouse gas emissions from the UK food system and the scope to reduce them by 2050. London, FCRN-WWF. Accessed: 17/02/2015 from: An assessment of greenhouse gas emissions from the UK food system end and the scope to reduce them by 2050 wwf.org.uk/downloads/how_low_report_1.pdf"	0578
Fruit and Vegetable Counter	Manderin	Hesperidium	Japan	2008	Journal 	0.45		"Yoshikawa, N., K. Amano and K. Shimada (2008). Evaluation of Environmental Loads Related to Fruit and Vegetable Consumption Using the Hybrid LCA Method: Japanese Case Study. Life Cycle Assessment VIII September 30-October 2, . Seattle, Washington."	0579
Fruit and Vegetable Counter	Melons	Pepo	Switzerland	2012	Journal	0.30	taken from graph	"Stoessel, F., R. Juraske, S. Pfister and S. Hellweg (2012). ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer."" Environmental Science & Technology 46(6): 3253-3262."	0580
Fruit and Vegetable Counter	Melons	Pepo	USA	2014	Conference	0.32		"Renz, B., N. Pavlenko, B. Acharya, C. Jemison, D. Lizas and T. Kollar (2014). Estimating Energy and Greenhouse Gas Emission Savings through Food Waste Source Reduction. Proceedings of the 9th International Conference on Life Cycle Assessment in the Agri-Food Sector. San Francisco: 1092-1102."	0581
Fruit and Vegetable Counter	Melons	Pepo	Brazil	2013	Journal	0.51		"Brito de Figueirêdo, M.C., Kroeze, C., Potting, J., da Silva Barros, V., Sousa de Aragão, F.A., Gondim, R.S., de Lima Santos, T., de Boer, I.J.M., (2013). The carbon footprint of exported Brazilian yellow melon. Journal of Cleaner Production 47, 404-414"	0582
Fruit and Vegetable Counter	Melons	Fruit	Italy	2012	Report	1.43	greenhouse	"Cellura, M., Ardente, F., Longo, S., (2012). From the LCA of food products to the environmental assessment of protected crops districts: A case-study in the south of Italy. Journal of Environmental Management 93, 194-208."	0583
Fruit and Vegetable Counter	Mushrooms	Fungai	Australia	2010	Report	0.06		"Maraseni, T. N., G. Cockfield, J. Maroulis and G. Chen (2010). ""An assessment of greenhouse gas emissions from the Australian vegetables industry."" Journal of Environmental Science and Health, Part B 45(6): 578-588."	0584
Fruit and Vegetable Counter	Mushrooms	Fungai	Australia	2012	Journal	0.48		"Gunady, M. G. A., W. Biswas, V. A. Solah and A. P. James (2012). ""Evaluating the global warming potential of the fresh produce supply chain for strawberries, romaine/cos lettuces (Lactuca sativa), and button mushrooms (Agaricus bisporus) in Western Australia using life cycle assessment (LCA)."" Journal of Cleaner Production 28(0): 81-87."	0585
Fruit and Vegetable Counter	Mushrooms	Fungai	Netherlands	2010	Report	1.86	greenhouse	"Blonk, H., A. Kool, B. Luske, T. Ponsioen and J. Scholten (2010). Methodology for assessing carbon footprints of horticultural products A study of methodological issues and solutions for the development of the Dutch carbon footprint protocol for horticultural product, Blonk Milieu Advies BV."	0586
Fruit and Vegetable Counter	Mushrooms	Fungai	United Kingdom	2012	EPD		"eccluded, unclear lifecycle "	"Tesco (2012). ""Product carbon footprint summary."" Retrieved 15/02/2015, from http://www.tescoplc.com/assets/files/cms/Tesco_Product_Carbon_Footprints_Summary%281%29.pdf. "	0587
Fruit and Vegetable Counter	Olives 	Drupe	Italy	2013	Journal	0.22	sustainable	"Pergola, M., M. Favia, A. M. Palese, B. Perretti, C. Xiloyannis and G. Celano (2013). ""Alternative management for olive orchards grown in semi-arid environments: An energy, economic and environmental analysis."" Scientia Horticulturae 162(0): 380-386."	0588
Fruit and Vegetable Counter	Olives 	Drupe	Italy	2013	Journal	0.25	conventional	"Pergola, M., M. Favia, A. M. Palese, B. Perretti, C. Xiloyannis and G. Celano (2013). ""Alternative management for olive orchards grown in semi-arid environments: An energy, economic and environmental analysis."" Scientia Horticulturae 162(0): 380-386."	0589
Fruit and Vegetable Counter	Olives 	Drupe	Italy	2012	Journal	0.61	conventional 	"Salomone, R. and G. Ioppolo (2012). ""Environmental impacts of olive oil production: a Life Cycle Assessment case study in the province of Messina (Sicily)."" Journal of Cleaner Production 28(0): 88-100."	0590
Fruit and Vegetable Counter	Olives 	Drupe	Italy	2012	Journal	0.62	conventional automated	"Salomone, R. and G. Ioppolo (2012). ""Environmental impacts of olive oil production: a Life Cycle Assessment case study in the province of Messina (Sicily)."" Journal of Cleaner Production 28(0): 88-100."	0591
Fruit and Vegetable Counter	Olives 	Drupe	Italy	2012	Journal	0.64	conventional automated	"Salomone, R. and G. Ioppolo (2012). ""Environmental impacts of olive oil production: a Life Cycle Assessment case study in the province of Messina (Sicily)."" Journal of Cleaner Production 28(0): 88-100."	0592
Fruit and Vegetable Counter	Olives 	Drupe	Italy	2012	Journal	0.65	conventional automated	"Salomone, R. and G. Ioppolo (2012). ""Environmental impacts of olive oil production: a Life Cycle Assessment case study in the province of Messina (Sicily)."" Journal of Cleaner Production 28(0): 88-100."	0593
Fruit and Vegetable Counter	Olives 	Drupe	Italy	2011	Journal	0.68		"De Gennaro, B., B. Notarnicola, L. Roselli and G. Tassielli (2012). ""Innovative olive-growing models: an environmental and economic assessment."" Journal of Cleaner Production 28(0): 70-80."	0594
Fruit and Vegetable Counter	Olives 	Drupe	Italy	2011	Journal	0.85		"De Gennaro, B., B. Notarnicola, L. Roselli and G. Tassielli (2012). ""Innovative olive-growing models: an environmental and economic assessment."" Journal of Cleaner Production 28(0): 70-80."	0595
Fruit and Vegetable Counter	Olives 	Drupe	Eurpoe	2009	Report		excluded no country of origin	"Audsley, E., M. Brander, J. Chatterton, D. Murphy-Bokern, C. Webster and A. Williams (2009). How low can we go? An assessment of greenhouse gas emissions from the UK food system and the scope to reduce them by 2050. London, FCRN-WWF. Accessed: 17/02/2015 from: An assessment of greenhouse gas emissions from the UK food system end and the scope to reduce them by 2050 wwf.org.uk/downloads/how_low_report_1.pdf"	0596
Fruit and Vegetable Counter	Onion	Bulbs	Sweden	2005	Report	0.06		"Cederberg, C., M. Wivstad, P. Bergkvist, B. Mattsson, K. Ivarsson (2005) Hållbart växtskydd. Analys av olika strategier för att minska riskerna med kemiska växtskyddsmedel, Rapport MAT21. Acessed 14/02/2015 from http://www.vaxteko.nu/html/sll/slu/rapport_mat_21/RMAT05-06/RMAT05-06.PDF"	0597
Fruit and Vegetable Counter	Onion	Bulbs	Sweden	2006	Report	0.07		"Fuentes, C., A. Carlsson-Kanyama, A. Biel, K. Bergstro_m, G. Grankvist, G. Lagerberg, C. Fogelberg, H. Shanahan and C. Sole_r (2006). Environmental information in the food supply system FOI-R--1903--SE. Stockholm, FOI – Swedish Defence Research Agency."	0598
Fruit and Vegetable Counter	Onion	Bulbs	Sweden	2011	Journal	0.10		"González, A. D., B. Frostell and A. Carlsson-Kanyama (2011). ""Protein efficiency per unit energy and per unit greenhouse gas emissions: Potential contribution of diet choices to climate change mitigation."" Food Policy 36(5): 562-570."	0599
Fruit and Vegetable Counter	Onion	Bulbs	denmark	2006	Report	0.15		"Fuentes, C., A. Carlsson-Kanyama, A. Biel, K. Bergstro_m, G. Grankvist, G. Lagerberg, C. Fogelberg, H. Shanahan and C. Sole_r (2006). Environmental information in the food supply system FOI-R--1903--SE. Stockholm, FOI – Swedish Defence Research Agency."	0600
Fruit and Vegetable Counter	Onion	Bulbs	United Kingdom	2006	Report	0.17		"Saunders, C., A. Barber and G. Taylor (2006). Food Miles – Comparative Energy/Emissions Performance of New Zealand’s Agriculture Industry. Research Report 285. Lincoln, Agribusiness & Economics Research Unit Lincoln University."	0601
Fruit and Vegetable Counter	Onion	Bulbs	New Zealand	2006	Report	0.18		"Saunders, C., A. Barber and G. Taylor (2006). Food Miles – Comparative Energy/Emissions Performance of New Zealand’s Agriculture Industry. Research Report 285. Lincoln, Agribusiness & Economics Research Unit Lincoln University."	0602
Fruit and Vegetable Counter	Onion	Bulbs	Australia	2010	Report	0.21		"Maraseni, T. N., G. Cockfield, J. Maroulis and G. Chen (2010). ""An assessment of greenhouse gas emissions from the Australian vegetables industry."" Journal of Environmental Science and Health, Part B 45(6): 578-588."	0603
