FoodNumber,FoodName,CO2e,CO2eRef
2335,"ORANGE JUICE SWEETENED BOTTLED",  104,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2336,"ORANGE JUICE UNSWEETENED CANNED",  104,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2337,"ORANGE JUICE UNSWEETENED PASTURISED",  104,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2338,"ORANGE JUICE UNSWEETENED AMBIENT / UHT", 78.6,"Average of CO2e values for Bananas  from From Clune et al 2017. multiplied by1"
2339,"ORANGE JUICE FRESHLY SQUEEZED JUICE",  144,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2340,"FRUIT JUICE DRINK CARB LESS THAN 50% JUICE NOT CANNED",  104,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2341,"PINEAPPLE JUICE SWEETENED CANNED",  104,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2342,"PINEAPPLE JUICE SWEETENED BOTTLED",  104,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2343,"PINEAPPLE JUICE UNSWEETENED CANNED",  104,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2344,"PINEAPPLE JUICE UNSWEETENED PASTEURISED",  104,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2345,"PINEAPPLE JUICE UNSWEETENED UHT",  104,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2348,"ROSEHIP SYRUP UNDILUTED", 42.5,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2349,"SINGLE STRENGTH FRUIT DRINK CONC, NOT B/C, NOT NAS, NOT ROBINSONS HIGHER SUGAR ~33G/100G SUGAR",  104,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2351,"SINGLE STRENGTH FRUIT DRINK CONC, NAS, NOT BLACKCURRANT, NOT ROBINSONS", 43.2,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2355,"TOMATO JUICE CANNED",  140,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2356,"TOMATO JUICE CARTONS OR BOTTLES",  140,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2357,"MIXED FRUIT JUICE PASTEURISED",  104,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2358,"MIXED FRUIT JUICE DRINKS, RTD, NOT LOW CALORIE, 25-49% FRUIT",  104,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2359,"FROZEN ORANGE JUICE CONCENTRATE",  104,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2360,"FROZEN ORANGE JUICE CONCENTRATE MADE UP",  104,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2361,"CARROT JUICE CARTONS OR BOTTLES",  104,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2362,"BEER: CANNED; NON PREMIUM BITTERS; PALE ALE; MILD; LIGHT ALE",   72,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2363,"BEER:BEST BITTER;CANNED EG. WHITBREAD TROPHY;TANKARD;WORTHIN",   72,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2364,"BEER: STRONG BITTER CANNED",   72,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2366,"BEER:REAL ALES OR EXTRA STRONG BITTERS CANNED",   72,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2367,"BEER:OTHERS;UNSPECIFIED CANNED",   72,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2368,"LAGER: NON PREMIUM CANNED (APPROX.3.3% ABV)",   72,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2369,"LAGER: PREMIUM CANNED (APPROX. 4.1% ABV)",   72,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2370,"LAGER: CONTINENTAL TYPE CANNED (APPROX. 5.1% ABV)",   72,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2371,"LAGER: SPECIAL STRONG BREW CANNED (APPROX. 8.7% ABV)",   72,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2372,"LAGER: LOW CARBOHYDRATE PILS TYPE; CANNED; EG. PILS (APPROX. 4.3% ABV)",   72,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2373,"ALCOHOL FREE LAGER CANNED EG BARBICAN (0.0% ABV)",   72,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2374,"LAGER: UNSPECIFIED CANNED NOT LOW CARBOHYDRATE OR ALCOHOL FREE (APPROX. 3.7% ABV)",   72,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2375,"STOUT: CANNED EG MACKESON",   72,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2376,"STOUT: CANNED",   72,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2377,"STOUT: EXTRA STRONG CANNED",   72,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2378,"SHANDY NOT CANNED",   72,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2379,"CIDER DRY CANNED",   72,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2380,"CIDER SWEET OR MEDIUM; CANNED",   72,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2382,"WINE RED CANNED",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2384,"WINE ROSE CANNED",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2385,"WINE WHITE MEDIUM CANNED",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2386,"WINE WHITE DRY CANNED",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2387,"WINE WHITE SWEET CANNED",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2388,"WINE WHITE SPARKLING CANNED",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2389,"WINE, CHAMPAGNE, INC ROSE CHAMPAGNE",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2390,"PORT",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2391,"SHERRY DRY",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2392,"SHERRY MEDIUM",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2393,"SHERRY SWEET; GINGER WINE",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2394,"APERITIFS, DRY APPROX 17.5% ABV: MARTINI, CAMPARI, CINZANO",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2395,"APERITIFS, SWEET APPROX 15% ABV: MARTINI, CINZANO, DUBONNET",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2396,"ADVOCAAT",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2397,"CREAM LIQUEURS EG BAILEYS GREENSLEEVES CAROLAN",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2398,"CHERRY BRANDY",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2399,"MEDIUM STRENGTH LIQUEURS EG TIA MARIA DE KUYPER CREME DE MENTHE",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2400,"HIGH STRENGTH LIQUEURS EG PERNOD DRAMBUIE CONTREAU GRAND MAR",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2401,"CURACAO",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2402,"70% PROOF SPIRITS WHISKY GIN BRANDY RUM VODKA BACARDI MALIBU",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2404,"CARBONATED FRUIT JUICE DRINK 50% JUICE NOT LOW CAL",  104,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2406,"PIMMS",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2407,"SNOWBALL BOTTLED",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2409,"BARBECUE SAUCE",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2410,"BOVRIL",2.09e+03,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2411,"BREAD SAUCE MADE WITH WHOLE MILK",  158,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2412,"BROWN SAUCE BOTTLED",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2413,"CHEESE SAUCE MADE WITH WHOLE MILK",1.11e+03,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2414,"CHILLI PICKLE OILY",   38,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2415,"CHILLI PICKLE SOUR",   38,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2416,"CHILLI PICKLE SWEET",   38,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2417,"CHUTNEY, APPLE",   38,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2418,"CHUTNEY TOMATO",   38,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2419,"CHUTNEY MANGO",   38,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2420,"COOK IN SAUCE, INDIAN, OTHER, NOT CANNED",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2421,"EGG SAUCE",  473,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2422,"FRENCH DRESSING CODE 2422",  473,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2423,"PICKLED ONION",  160,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2424,"GRAVY THICKENED WITH FAT",  473,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2425,"GRAVY THICKENED NO FAT",  473,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2426,"GRAVY UNTHICKENED WITH FAT",  473,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2427,"GRAVY UNTHICKENED NO FAT",  473,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2428,"HORSERADISH SAUCE",  100,"No idea so default to 1 - likely from the processing?"
2429,"LIME PICKLE OILY",   38,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2430,"MANGO PICKLE OILY",   38,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2431,"MARMITE",  480,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2432,"MAYONNAISE (RETAIL)",  473,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2433,"MAYONNAISE LOW CALORIE (RETAIL)",  473,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2434,"MILD MUSTARD SAUCE EG MC DONALDS",  100,"No idea so default to 1 - likely from the processing?"
2435,"MINT SAUCE",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2436,"MINT JELLY",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2437,"ONION SAUCE MADE WITH WHOLE MILK",  158,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2438,"OYSTER SAUCE",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2439,"PICCALILLI",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2440,"PICKLE SWEET",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2441,"SALAD CREAM (NOT LOW CALORIE)",  473,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2443,"SANDWICH SPREAD",  100,"No idea so default to 1 - likely from the processing?"
2444,"SOY SAUCE DARK",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2445,"SOY SAUCE LIGHT",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2446,"MC DONALDS AND BURGER KING SAUCES AND DIPS",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2447,"COOK IN SAUCE, CHINESE, SWEET & SOUR, NOT CANNED",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2448,"TOMATO KETCHUP",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2449,"TOMATO PUREE (NOT CANNED)",  140,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2450,"TOMATO SAUCE HOMEMADE",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2451,"SAVOURY WHITE SAUCE MADE WITH WHOLE MILK",  158,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2452,"WHITE SAUCE SWEET (WHOLE MILK)",  158,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2453,"WORCESTER SAUCE",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2454,"MUSTARD READY MADE",  473,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2456,"BEETROOT PICKLED IN VINEGAR",  160,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2458,"PACKET SAUCES MADE UP",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2459,"STUFFING, DRY MIX MADE UP",  100,"No idea so default to 1 - likely from the processing?"
2460,"TOMATO PUREE CANNED",  140,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2461,"BROTH BONE AND VEGETABLE HOME-MADE",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2462,"CONSOMME (OTHER CLEAR SOUPS; BOUILLON CUBES)",  420,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2463,"CREAM OF CHICKEN SOUP CANNED (READY TO SERVE)",  410,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2464,"CREAM OF CHICKEN SOUP CONDENSED CANNED",  410,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2465,"CREAM OF CHICKEN SOUP CONDENSED MADE UP H20",  410,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2466,"CHICKEN NOODLE SOUP DRIED",  410,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2467,"CHICKEN NOODLE SOUP PACKET (MADE UP)",  410,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2468,"INSTANT SOUP AS SERVED",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2469,"LENTIL SOUP",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2470,"MINESTRONE SOUP DRIED",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2471,"MINESTRONE SOUP PACKET MADE UP",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2472,"CREAM OF MUSHROOM SOUP CANNED",  480,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2473,"OXTAIL SOUP CANNED",1.27e+03,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2474,"OXTAIL SOUP DRIED",1.27e+03,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2475,"OXTAIL SOUP PACKET (AS SERVED)",1.27e+03,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2476,"SOUP - PEA HOMEMADE",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2477,"SCOTCH BROTH",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2478,"CREAM OF TOMATO SOUP CANNED",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2479,"TOMATO SOUP CONDENSED",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2480,"TOMATO SOUP CONDENSED DILUTED WITH WATER",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2481,"TOMATO SOUP DRIED",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2482,"TOMATO SOUP PACKET MADE UP",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2483,"VEGETABLE SOUP CANNED",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2484,"SOUP VEGETABLE",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2485,"SOUP OTHER CANNED AS SERVED",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2486,"SOUP CONDENSED (MILK&WATER)",  158,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2487,"SOUP CONDENSED (MILK ONLY)",  158,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2488,"SOUP OTHER CONDENSED (WATER)",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2489,"SWEETCORN CHOWDER",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2490,"VEGETABLE SOUP WITH PULSES",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2491,"LOW CALORIE SOUP CANNED",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2492,"LOW CALORIE SOUP PACKET (AS SERVED)",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2493,"VENDING MACHINE SOUP",  410,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2494,"SCOTCH BROTH CANNED",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2501,"BLUE CHEESE THOUSAND ISLAND DRESSING",  473,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2502,"BAKING POWDER",  100,"No idea so default to 1 - likely from the processing?"
2503,"BATTER COATING RAW",  473,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2505,"CHILLI POWDER",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2508,"CURRY POWDER",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2509,"GELATIN",  100,"No idea so default to 1 - likely from the processing?"
2510,"GINGER GROUND",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2512,"MUSTARD POWDER",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2515,"OXO CUBES",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2517,"PARSLEY DRIED",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2518,"PEPPER",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2521,"SALT BLOCK",  100,"No idea so default to 1 - likely from the processing?"
2522,"SALT TABLE",  100,"No idea so default to 1 - likely from the processing?"
2525,"VINEGAR",  167,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2527,"MEDICINE IN ANY FORM",  100,"No idea so default to 1 - likely from the processing?"
2528,"CINNAMON",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2529,"YEAST COMPRESSED",  480,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2530,"YEAST DRIED",  480,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2601,"APPLES EATING RAW FLESH & SKIN WEIGHED WITH CORE",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2602,"GOOSEBERRIES CANNED IN SYRUP FRUIT ONLY",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2603,"PLAIN FLOUR AFTER BAKING",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2604,"SR FLOUR AFTER BAKING",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2605,"BOMBAY MIX / CHEVDA",  300,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2606,"SODIUM BICARBONATE",  100,"No idea so default to 1 - likely from the processing?"
2607,"BATTER WITH COOKING LOSSES",  491,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2608,"POTATO OLD WITH FRYING LOSSES",  220,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2609,"POTATO NEW WITH FRYING LOSSES",  220,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2610,"EGG & CRUMB AFTER FRYING LOSS",  491,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2611,"EGG AFTER BAKING/BOILING",  491,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2613,"SUGAR SYRUP",   38,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2614,"COD HADDOCK WITH LOSSES",  460,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2615,"CALVES LIVER WITH FRYING LOSS",1.27e+03,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2617,"CABBAGE WHITE BOILED",  160,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2618,"PEAS MUSHY BOILED NOT CANNED",  110,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2619,"CHICKEN FLESH WITH LOSSES",  420,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2620,"FRUIT PIE FILLING CANNED BLACKCURRANT",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2621,"GRAPES CANNED IN SYRUP FRUIT ONLY",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2622,"VEGETABLE BIRYANI / PILAU WITH RICE",  260,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2623,"VEGETABLE SAMOSA",  260,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2624,"OKRA FRIED IN BLENDED OIL",  160,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2625,"RATATOUILLE HOMEMADE",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2626,"RATATOUILLE CANNED",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2627,"TAYTO CORN SNACKS ONLY",  217,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2628,"CHERRIES CANNED IN FRUIT JUICE FRUIT ONLY WITH OR WITHOUT ST",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2629,"MIXED NUTS AND RAISINS UNSALTED",  300,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2630,"PEANUTS & RAISINS (KP)",  300,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2631,"TRAIL HAWAIIAN TROPICAL MIX MIXED NUTS DRIED FRUIT",  300,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2632,"DRINKING CHOCOLATE INSTANT DRY WEIGHT",  933,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2633,"FAT REDUCED DRINKING CHOCOLATE DRY WT INSTANT",  933,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2635,"HORLICKS LOW FAT INSTANT DRY WEIGHT",  123,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2636,"VENDING MACHINE COFFEE & WHITENER", 21.2,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2637,"VENDING COFFEE WHITENER & SUGAR", 21.2,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2638,"VENDING MACHINE TEA & WHITENER", 21.2,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2639,"VENDING TEA WHITENER & SUGAR", 21.2,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2640,"VENDING MACHINE HOT CHOCOLATE",  933,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2641,"APPLE JUICE DRINK CARBONATED CANNED NOT LOW CALORIE ~5% APPLE",  104,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
