"Units","FoodAisle","Base","ACAR","ALCO","BCAR","BCRYPT","BIOT","CA","CHO","CHOL","CL","CMON","CN3","CN6","CU","ENGFIB","FAT","FE","FOLT","FRUCT","GLUC","HFE","I","K","KCALS","KJ","LACT","MALT","MG","MILK","MN","NA","NCF","NHFE","NIACEQU","NMILK","OSUG","P","PANTO","PROT","RET","RIBO","SATFA","SE","STAR","SUCR","THIA","TOTCAR","TOTNIT","TOTSUG","TRANS","VITA","VITB12","VITB6","VITC","VITD","VITE","WATER","ZN","Fruit","DriedFruit","FruitJuice","SmoothieFruit","Tomatoes","TomatoPuree","Brassicaceae","YellowRedGreen","Beans","Nuts","OtherVeg","Beef","Lamb","Pork","ProcessRedMeat","OtherRedMeat","Burgers","Sausages","Offal","Poultry","ProcessedPoultry","GameBirds","WhiteFish","OilyFish","CannedTuna","Shellfish","CottageCheese","CheddarCheese","OtherCheese","AllCheese","AllFish","AllMeat","AllAnimal","CO2e"
"Grams","Alcoholic drinks",237.69274295507552,0.0,12.848849240946132,0.16174739519746595,0.0,2.6063918856666097,16.34997757851385,5.939896788777243,0.05574843857215769,45.317635378781475,0.006058125438239634,0.00011534159704584349,0.0003268011916298899,0.038801425042480506,0.0,0.028477843204636564,0.5051112438899408,18.501906019087016,0.547410931522618,1.7874805583823241,0.0,17.183215808828873,131.25017438130328,115.00289976074663,478.3620396953442,0.0013456519655348407,3.257809605008227,18.590926786274913,0.0015648038939397497,0.06541272642166171,17.645392624731496,14.85651963605596,0.5051112438899408,1.6586965853733413,5.937893681026491,0.0025438573190474873,38.719420285313326,0.042085840390161645,0.6066946350207881,0.33449063143294616,0.07334212628398937,0.01796560831346771,0.0,0.0004383038568098185,0.3428398032078271,3.844719901528117e-05,0.16174739519746595,0.025929506298140236,5.939458484920432,0.0009611799753820292,0.361403670743643,0.010264258320892177,0.14818341815169092,0.0,0.0,0.0011534159704584348,216.21381398713393,0.04007408159674547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.42288884746833
"Grams","Beef and lamb",41.122547285448924,7.5002828904004,0.0,36.966771488995676,0.4661421975770352,0.731306740835695,12.00251083135307,2.3089148477439307,25.791518070493623,98.63334441314167,1.4932462319693778,0.055488923574017815,0.19112118278716916,0.03256400864073912,0.18111632903848388,3.962825200843948,0.7624015790829942,6.088096952229752,0.06310486879300478,0.1957340933857891,0.2665788309170095,4.057801410461725,114.17591324253014,77.84695879507757,326.0004282997242,0.03629900073398352,0.01196427880216214,8.894155476638474,0.3677681113049292,0.03410084941620691,73.53746152314393,2.6429580529464585,0.49527071999521805,3.3214959477357318,0.035929185148934784,0.0062886315776451785,67.88524578528884,0.23425952249480478,8.378455389723081,3.2206608371025536,0.06542047085786833,1.7242789856716219,3.0673088636254437,1.8981703951084081,0.09014122591528864,0.035851891464431615,40.886840796403334,1.3428433635118044,0.40324727867986554,0.18593719609223366,10.033154832603739,0.7524071415657626,0.10806020484625824,0.44953605330738733,0.19954126064966773,0.12969419549315733,25.94285709895879,1.6100385318899706,0.0026040177302405192,0.0,3.358240232629178e-05,0.0,0.9554938293682925,0.3617389859144813,0.1330453576040216,0.23331109934837205,0.22204684979639608,0.0,1.6298527236084965,19.92544576684303,6.102149413085109,0.0,0.07193128832524048,0.0,3.6337916951622216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03533877262193761,0.533937921588858,0.5692766942107955,0.0,29.73331816341561,30.302594857626406,545.331941583383
"Grams","Soft drinks, bottled water",463.694701789255,0.10663874691711739,0.0,96.28753458544996,0.02866880991813358,0.1313219222557707,13.718185230656973,14.206057354254092,0.0,4.944121664362758,2.569272747415241e-05,6.423181868538103e-05,0.00012846363737076206,0.0018922039233989318,0.00671032673281955,0.0006116075923309507,0.017817780674742514,1.2528988513368018,3.7187358827393386,4.12509822552075,0.0,0.15536043740357794,21.835780948467676,54.43239144483858,229.6186388087091,0.0,0.20053372251454937,3.6353147863685447,0.0,0.003306244332050581,22.8874622104085,28.98091886182844,0.017923407247206303,0.7436514137870718,14.196431650564193,0.049807489489556996,39.712583188643215,0.20066303478394676,0.04957043491419917,0.2672018178590612,0.008728568690128289,0.00035468031758942656,0.0010562657246378773,0.00931867029214274,6.118998750923067,0.0021693711431666606,96.35466023100525,0.004708939886634654,14.196342791058502,0.0,16.33902638712801,0.10709477547029558,0.12932004384265952,8.238717636507545,0.0,0.018840361672228308,449.96491820938934,0.003965960511093118,0.0,0.0,10.931295503554933,0.0,0.0,0.0,0.0,0.015132235613918596,0.0,0.0,0.015835167615306515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.7789309893905
"Grams","Chocolate",12.22963672032527,0.04823713794759197,0.0,3.25417105998283,0.0,0.550558733965902,19.065291466208194,7.502365110727608,1.8283775846135832,26.041629827502202,1.0634224647157982,0.010014431203859487,0.14638015744637836,0.03574142918464337,0.16812963199930303,3.2078847445399656,0.22364289996366685,1.1990159939438545,0.07667278203077149,0.32432268308679935,0.0,4.125288620170717,44.743003006798816,59.926365632711324,251.14836694492658,0.8391436681398542,0.2347962803904661,6.0994526982454556,0.9653447506493046,0.05258184546448031,14.374501436002552,0.7644060902151548,0.22364289996366685,0.26375529250353247,5.930740042896193,0.2900200326177079,21.93582564432159,0.08145642970757612,0.7295124859815276,5.091834990983354,0.03882758092837429,1.7937470539983056,0.36429848134674186,0.6074648417363399,5.132221178699914,0.011708068384126483,3.2833603490572765,0.11827953886815219,6.896532395367412,0.020102826369344295,5.657939631485897,0.09277517900950187,0.01067890054546456,0.0027511822206072586,0.018142381704398466,0.1829697503391149,0.4544320645066573,0.11336266267848889,0.0,0.14676442328959333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3214498218421126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.39503050554717
"Grams","Other meat",18.12341948438148,0.6569935778679084,0.0,5.162751503217644,0.02001686616976293,0.807237453716014,8.565827078460131,3.0801543606360235,10.104104685425416,151.639579232743,1.2869999879049796,0.044748252101541375,0.3169252241331387,0.045270651320614114,0.18048890725853553,3.221369767334171,0.39611500212491074,2.3847860160695533,0.015755277016985994,0.05538895083460084,0.13698759853852122,1.394631009596746,31.755879417609314,49.58369071455584,206.9909992675122,0.007698648015075226,0.09675462232690404,2.838856697327116,0.2166730389867894,0.03542646572008409,95.86798687572032,1.1418968096765163,0.2585097983974714,0.901403880261145,0.01813131557791541,0.0055770552496462915,23.56804203880048,0.1652670595209432,2.264184202997072,112.66407010884785,0.04979961022725755,1.3432952040352166,1.7776721204268096,2.844413508898322,0.05570184663848969,0.02468781533032705,5.505612589616531,0.3623858624863831,0.23180483399074395,0.03218354286266875,113.57952352884507,0.35014104675242014,0.031285347807156555,0.2769809762756084,0.06100463368961022,0.18439914208742633,8.86430117445876,0.32749200533836526,0.008713736420851215,0.005522918827244501,9.731928429958308e-05,0.0,0.0046482315309278755,0.05961832392704048,0.100323599522696,0.030069133904058735,0.0,0.0,0.411251328585664,1.3288442124593278,0.010254332350057124,0.34967805642403665,2.4667883975016607,0.2828459081266094,0.0,1.4745558190815637,1.422514391084578,0.3896007854580245,0.0,0.8081225017647223,0.0,0.0,0.0,0.0,0.0,0.0,0.11116920178724782,0.11116920178724782,0.0,8.533204404250581,8.64437360603783,164.90175054430875
"Capsule","Dietary supplements",0.9210595700489698,0.0,0.0,17.18994483710535,0.0,6.548063254116419,17.37241773314591,0.02342731844292669,0.5764437517986065,0.0,0.05203999940827346,0.044638402226635364,0.03145853972749427,0.06089272647271948,0.0008785861242852498,0.16195715816758485,1.1258485972822985,42.28114328972623,0.004428875616498345,0.0017034264409908455,0.0,20.03891189147453,0.6606793608550402,1.5634856641617614,6.3651559900055625,0.0,0.005859809029311065,6.8081190114709935,0.005478775721980715,0.09968081691257975,0.005140004565319662,1.9254699007830456,1.1258485972822985,2.7289755068806247,0.01652029577391354,0.001221815222241384,3.03336593056649,1.3027198982831045,0.0009387611952023951,78.47964310711039,0.4807974887590041,0.023293895737541176,3.7404032591228997,0.0014282469470324292,0.008785145186852618,0.5710368084503104,17.18994483710535,0.00022206797005881791,0.021999071495894265,0.0,81.34430517424893,4.340637737762638,0.876991044923637,37.09885376276031,2.405180658294768,1.7849939665057468,0.7194211450654003,0.9482056676050552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
" ","Commercial toddlers foods and drinks",0.09386760690094767,0.22922025081519498,0.0,0.2921990821035283,0.005673768584534529,0.0017318503370495062,0.04324780476298059,0.03299608759726187,8.91592850674417e-05,0.15151654047389604,0.0017668872929934554,0.00014610493370234947,0.0019119443800013017,0.00016219236084251328,0.0017178084837759257,0.005941448189124786,0.0010509854169605947,0.06965483648894588,0.006556903036091322,0.002370244922809284,6.946922356818013e-05,0.009415166688986338,0.2240368144853615,0.18853679669553822,0.7975827973861765,0.00036879495799474444,2.8368842922672647e-05,0.022132514282115823,0.004051743644482727,0.0005804021905275095,0.13877722752402866,0.005850379562380198,0.0009815161933924145,0.002601574162081329,0.007657426705620539,0.0,0.05951844330469632,0.000204525852796538,0.0032364947898212114,0.017345530769290428,0.00012197760431699255,0.0019684442634445953,0.0032177092661927185,0.02128691724715862,0.002379069488321227,0.0003918348675872538,0.4096460918033931,0.0005034500723073787,0.011709170350103264,1.7318503370495062e-05,0.08599813064215824,2.8368842922672647e-05,5.970966201426002e-05,0.009390087007404646,0.00031705580693734323,0.0018288917186812957,0.05059582985454992,0.00044112404195588016,0.0567376858453453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24658901905985828
